thread,p,d,d2,d1,d3,h3
M0.25,0.075,0.25,0.201,0.169,0.158,
M0.3,0.08,0.3,0.248,0.213,0.202,
M0.35,0.09,0.35,0.292,0.253,0.240,
M0.4,0.1,0.4,0.335,0.292,0.277,
M0.45,0.1,0.45,0.385,0.342,0.327,
M0.5,0.125,0.5,0.419,0.365,0.347,
M0.55,0.125,0.55,0.469,0.415,0.397,
M0.6,0.15,0.6,0.503,0.438,0.416,
M0.7,0.175,0.7,0.586,0.511,0.485,
M0.8,0.2,0.8,0.670,0.583,0.555,
M0.9,0.225,0.9,0.754,0.656,0.624,
M1,0.25,1,0.838,0.729,0.693,0.153
M1x0.2,0.2,1,0.870,0.783,0.755,0.123
M1.1,0.25,1.1,0.938,0.829,0.793,0.153
M1.1x0.2,0.2,1.1,0.970,0.883,0.855,
M1.2,0.25,1.2,1.038,0.929,0.893,0.153
M1.2x0.2,0.2,1.2,1.070,0.983,0.955,
M1.4,0.3,1.4,1.205,1.075,1.032,0.184
M1.4x0.2,0.2,1.4,1.270,1.183,1.155,
M1.6,0.35,1.6,1.373,1.221,1.171,0.215
M1.6x0.2,0.2,1.6,1.470,1.383,1.355,
M1.8,0.35,1.8,1.573,1.421,1.371,0.215
M1.8x0.2,0.2,1.8,1.670,1.583,1.555,
M2,0.4,2,1.740,1.567,1.509,0.245
M2x0.25,0.25,2,1.838,1.729,1.693,
M2.2,0.45,2.2,1.908,1.713,1.648,0.276
M2.2x0.25,0.25,2.2,2.038,1.929,1.893,
M2.5,0.45,2.5,2.208,2.013,1.948,0.276
M2.5x0.35,0.35,2.5,2.273,2.121,2.071,
M3,0.5,3,2.675,2.459,2.387,0.307
M3x0.35,0.35,3,2.773,2.621,2.571,
M3.5,0.6,3.5,3.110,2.850,2.764,0.368
M3.5x0.35,0.35,3.5,3.273,3.121,3.071,
M4,0.7,4,3.545,3.242,3.141,0.429
M4x0.5,0.5,4,3.675,3.459,3.387,
M4.5,0.75,4.5,4.013,3.688,3.580,0.460
M4.5x0.5,0.5,4.5,4.175,3.959,3.887,
M5,0.8,5,4.480,4.134,4.019,0.491
M5x0.5,0.5,5,4.675,4.459,4.387,
M5.5,0.5,5.5,5.175,4.959,4.887,0.307
